"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Russell Wilson (NYG)","3","7","42.9","45","6.4","0","0","2","2","12","0","0","1","3.0","3.0","1.9%"
"53","Teddy Bridgewater (TB)","8","15","53.3","62","4.1","0","0","2","2","5","0","0","2","3.0","1.5","0.8%"
"54","Trey Lance (LAC)","4","9","44.4","46","5.1","0","0","1","7","5","0","0","2","2.4","1.2","0.9%"
"55","Tanner McKee (PHI)","3","3","100.0","33","11.0","0","0","0","3","7","0","0","2","2.0","1.0","1.5%"
"56","Gardner Minshew II (KC)","6","13","46.2","37","2.8","0","1","0","1","8","0","0","2","1.3","0.7","1.8%"
"57","Joshua Dobbs (NE)","3","4","75.0","30","7.5","0","0","0","2","-1","0","0","1","1.1","1.1","1.0%"
"58","Tyson Bagent (CHI)","1","1","100.0","20","20.0","0","0","0","0","0","0","0","2","0.8","0.4","0.6%"
"59","Jake Browning (CIN)","1","1","100.0","14","14.0","0","0","0","0","0","0","0","1","0.6","0.6","0.9%"
"60","Mitchell Trubisky (BUF)","0","0","0","0","0","0","0","0","1","4","0","0","1","0.4","0.4","0.6%"
"61","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","1","2","0","0","7","0.2","0.0","0.0%"
"62","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","1.1%"
"63","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"64","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Desmond Ridder (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"67","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"68","Graham Mertz (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Sean Clifford (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"70","Sam Howell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"71","Kyle McCord (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"72","Spencer Rattler (NO)","0","1","0.0","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"73","Stetson Bennett IV (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"74","Kurtis Rourke (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"75","Cam Miller (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"76","Carter Bradley (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","John Rhys Plumlee (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"78","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"79","Connor Bazelak (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"80","Aidan O'Connell (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"81","Hendon Hooker (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"82","Sam Hartman (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"83","Anthony Richardson Sr. (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7%"
"84","Bailey Zappe (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"85","Skylar Thompson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8%"
"86","Tommy DeVito (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"87","Seth Henigan (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"88","Will Howard (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"89","Ben Chappell (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"90","Adam Froman (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"91","Hunter Cantwell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","Andy Dalton (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"93","Brett Smith (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Case Keenum (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"95","Erik Ainge (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","John Wolford (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Will Grier (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"98","Brett Rypien (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"99","Easton Stick (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Mike White (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"101","Sam Ehlinger (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Kyler Murray (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","47.7%"
"103","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"104","Shane Buechele (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Deshaun Watson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
