"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Jalen McMillan","WR","TB","12","567","47","69","1","9","6","10","84.4","14.9"
"Mike Gesicki","TE","CIN","16","472","30","44","0","15","12","15","69.7","14.8"
"Tommy DeVito","QB","NYG","3","91","30","44","9","0","57","57","13.5","14.8"
"George Pickens","WR","PIT","13","718","55","80","0","14","8","14","105.4","14.7"
"Keon Coleman","WR","BUF","12","533","44","71","0","9","5","9","78.5","14.7"
"Nick Westbrook-Ikhine","WR","TEN","13","671","52","79","0","8","4","8","98.7","14.7"
"Jalen Coker","WR","CAR","10","368","37","63","0","11","7","11","53.6","14.6"
"Trey McBride","TE","ARI","15","876","58","90","0","16","12","16","126.3","14.4"
"Jerry Jeudy","WR","CLE","16","1,005","63","90","0","13","8","13","144.6","14.4"
"Keenan Allen","WR","CHI","14","796","57","87","0","15","8","15","113.9","14.3"
"David Njoku","TE","CLE","11","589","54","75","0","16","11","16","84.5","14.3"
"Chris Olave","WR","NO","8","315","39","59","0","14","10","14","44.7","14.2"
"Amari Cooper","WR","BUF","13","555","43","66","0","15","8","15","78.7","14.2"
"Tank Dell","WR","HOU","14","633","45","69","1","13","9","14","89.0","14.1"
"Zach Ertz","TE","WAS","16","718","45","65","0","12","8","12","101.0","14.1"
"Skylar Thompson","QB","MIA","2","56","28","41","2","0","61","61","7.9","14.1"
"Christian Watson","WR","GB","14","545","39","61","1","10","6","10","76.3","14.0"
"Michael Penix Jr.","QB","ATL","4","151","38","57","4","0","48","48","21.2","14.0"
"Olamide Zaccheaus","WR","WAS","16","454","28","41","0","13","10","13","62.3","13.7"
"Tutu Atwell","WR","LAR","16","389","24","38","1","14","10","15","53.2","13.7"
"Isaiah Likely","TE","BAL","15","584","39","60","0","9","7","9","77.9","13.3"
"Jakobi Meyers","WR","LV","14","850","61","91","0","14","9","14","112.7","13.3"
"Devaughn Vele","WR","DEN","12","409","34","53","0","12","9","12","54.5","13.3"
"Jacoby Brissett","QB","NE","7","350","50","82","4","0","50","50","46.2","13.2"
"Darnell Mooney","WR","ATL","16","988","62","93","0","11","7","11","129.2","13.1"
"Dallas Goedert","TE","PHI","9","433","48","71","0","11","9","11","56.1","13.0"
"Romeo Doubs","WR","GB","13","660","51","77","0","11","7","11","86.1","13.0"
"Christian Kirk","WR","JAC","8","337","42","70","0","14","8","14","43.9","13.0"
"Jalen Nailor","WR","MIN","16","541","34","51","1","7","5","8","69.7","12.9"
"Sam LaPorta","TE","DET","15","842","56","84","0","9","6","9","108.3","12.9"
"Ricky Pearsall","WR","SF","10","385","39","64","1","10","8","11","49.6","12.9"
"Allen Lazard","WR","NYJ","11","592","54","84","0","10","6","10","75.9","12.8"
"Tucker Kraft","TE","GB","16","863","54","85","0","7","6","8","109.7","12.7"
"DJ Moore","WR","CHI","16","1,005","63","94","1","13","10","14","127.0","12.6"
"Dontayvion Wicks","WR","GB","16","538","34","53","0","13","6","13","66.6","12.4"
"DeMario Douglas","WR","NE","16","631","39","61","0","13","10","14","78.3","12.4"
