"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"74","Jordan Travis (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"75","Jake Luton (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"76","Trevor Siemian (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"77","C.J. Beathard (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"78","Jeff Driskel (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"79","Jake Browning (CIN)","0","0","0","0","0","0","0","0","2","-2","0","0","3","-0.2","-0.1","0.9%"
"80","Jarrett Stidham (DEN)","0","0","0","0","0","0","0","0","2","-2","0","0","2","-0.2","-0.1","0.7%"
"81","Kyle Trask (FA)","1","1","100.0","5","5.0","0","0","0","5","-4","0","0","4","-0.2","-0.1","1.1%"
"82","Tyson Bagent (CHI)","2","2","100.0","11","5.5","0","0","0","6","-7","0","0","4","-0.3","-0.1","0.6%"
"83","Clayton Tune (FA)","2","2","100.0","8","4.0","0","0","0","6","-6","0","1","5","-2.3","-0.5","0.6%"
""
""
