"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Malik Willis","QB","GB","4","98","25","41","22","0","58","58","51.1","52.1"
"Derrick Henry","RB","BAL","16","520","33","54","55","4","58","59","251.9","48.4"
"James Cook III","RB","BUF","16","637","40","60","48","6","53","54","267.7","42.0"
"Jahmyr Gibbs","RB","DET","16","685","43","67","33","13","44","46","272.6","39.8"
"Jonathan Taylor","RB","IND","16","849","53","84","36","6","42","43","312.4","36.8"
"De'Von Achane","RB","MIA","16","697","44","75","34","12","44","46","255.8","36.7"
"David Montgomery","RB","DET","16","377","24","37","40","7","46","48","137.4","36.4"
"Jaylen Warren","RB","PIT","15","461","31","51","43","9","50","51","167.2","36.3"
"Josh Jacobs","RB","GB","15","554","37","59","42","8","49","50","201.1","36.3"
"Josh Allen","QB","BUF","16","1,033","65","98","11","0","55","55","374.5","36.3"
"Bijan Robinson","RB","ATL","16","807","50","78","34","12","43","46","287.5","35.6"
"Cam Skattebo","RB","NYG","8","295","37","54","34","11","42","45","103.7","35.2"
"RJ Harvey","RB","DEN","16","448","28","41","29","12","40","42","156.3","34.9"
"Christian McCaffrey","RB","SF","16","896","56","83","34","14","45","48","308.9","34.5"
"Drake Maye","QB","NE","16","1,005","63","97","10","0","57","57","343.2","34.1"
"Puka Nacua","WR","LAR","15","675","45","68","1","23","19","24","230.0","34.1"
"Brock Purdy","QB","SF","8","534","67","98","6","0","54","54","181.2","33.9"
"Jacory Croskey-Merritt","RB","WAS","16","381","24","39","43","3","45","46","128.4","33.7"
"Travis Etienne Jr.","RB","JAC","16","657","41","60","37","8","43","45","214.1","32.6"
"Jawhar Jordan","RB","HOU","3","69","23","35","55","10","65","65","22.4","32.5"
"TreVeyon Henderson","RB","NE","16","477","30","46","35","9","42","44","153.9","32.3"
"Zach Charbonnet","RB","SEA","15","451","30","48","37","4","41","41","145.7","32.3"
"Jaxson Dart","QB","NYG","13","699","54","82","12","0","56","56","226.1","32.3"
"D'Andre Swift","RB","CHI","15","589","39","58","36","8","42","44","189.8","32.2"
"Quinshon Judkins","RB","CLE","14","452","32","50","51","8","57","59","143.8","31.8"
"Patrick Mahomes II","QB","KC","14","934","67","97","7","0","61","61","295.7","31.7"
"Matthew Stafford","QB","LAR","16","1,045","65","99","3","0","56","56","331.6","31.7"
"Jalen Hurts","QB","PHI","16","965","60","97","11","0","58","58","305.0","31.6"
"Kenneth Walker III","RB","SEA","16","469","29","47","44","7","49","51","147.6","31.5"
"Rico Dowdle","RB","CAR","16","564","35","56","41","9","47","49","176.3","31.3"
"Daniel Jones","QB","IND","13","756","58","91","6","0","57","57","234.4","31.0"
"J.K. Dobbins","RB","DEN","10","340","34","51","45","4","48","49","104.9","30.9"
"Lamar Jackson","QB","BAL","12","651","54","92","10","0","53","53","200.4","30.8"
"Trevor Lawrence","QB","JAC","16","1,064","67","98","8","0","57","57","326.8","30.7"
"Kyren Williams","RB","LAR","16","725","45","68","34","6","39","40","219.2","30.2"
"Jaxon Smith-Njigba","WR","SEA","16","772","48","78","1","20","16","21","232.5","30.1"
"Dak Prescott","QB","DAL","16","1,107","69","98","5","0","58","58","323.1","29.2"
"Kenneth Gainwell","RB","PIT","16","467","29","49","23","16","37","40","134.9","28.9"
"Jayden Daniels","QB","WAS","7","405","58","91","14","0","61","61","117.1","28.9"
"Jacoby Brissett","QB","ARI","13","757","58","86","5","0","65","65","218.8","28.9"
"Justin Herbert","QB","LAC","16","1,043","65","97","8","0","57","57","299.8","28.7"
"Justin Fields","QB","NYJ","9","501","56","91","14","0","55","55","143.6","28.7"
"Jared Goff","QB","DET","16","1,010","63","98","2","0","55","55","288.9","28.6"
"Joe Burrow","QB","CIN","7","411","59","86","3","0","56","56","117.3","28.5"
"Chase Brown","RB","CIN","16","700","44","67","31","12","41","43","198.6","28.4"
"Bo Nix","QB","DEN","16","1,077","67","100","7","0","62","62","305.3","28.3"
"Jameis Winston","QB","NYG","3","156","52","70","4","1","47","47","44.2","28.3"
"Dalton Kincaid","TE","BUF","11","292","27","40","0","16","12","16","82.3","28.2"
"Caleb Williams","QB","CHI","16","1,088","68","99","7","0","56","56","305.7","28.1"
"Darren Waller","TE","MIA","9","234","26","45","0","15","11","15","64.7","27.6"
"Jordan Mason","RB","MIN","15","386","26","44","38","4","41","42","105.5","27.3"
"James Conner","RB","ARI","3","93","31","50","34","10","43","44","25.3","27.2"
"Kyle Monangai","RB","CHI","16","455","28","41","36","6","40","42","123.8","27.2"
"Javonte Williams","RB","DAL","16","769","48","68","33","7","37","39","207.8","27.0"
"Omarion Hampton","RB","LAC","9","384","43","63","32","9","41","41","103.7","27.0"
"Jordan Love","QB","GB","15","894","60","94","5","0","54","54","241.3","27.0"
"J.J. McCarthy","QB","MIN","9","480","53","94","7","0","53","53","129.3","26.9"
"Breece Hall","RB","NYJ","16","640","40","64","38","8","44","46","171.7","26.8"
"Jake Browning","QB","CIN","5","212","42","71","4","0","63","63","56.7","26.7"
"Tyler Shough","QB","NO","10","537","54","81","8","0","62","62","141.2","26.3"
"Bucky Irving","RB","TB","9","379","42","61","39","9","46","47","98.7","26.0"
"Baker Mayfield","QB","TB","16","1,032","65","97","5","0","55","55","268.7","26.0"
"Marcus Mariota","QB","WAS","11","510","46","75","10","0","54","54","132.4","26.0"
"Davante Adams","WR","LAR","14","635","45","70","0","18","9","18","162.9","25.7"
"Tyrod Taylor","QB","NYJ","6","251","42","70","11","0","64","64","64.4","25.7"
"Aaron Rodgers","QB","PIT","15","843","56","95","2","0","56","56","215.4","25.6"
"Kyler Murray","QB","ARI","5","318","64","99","9","0","60","60","80.8","25.4"
"Ashton Jeanty","RB","LV","16","711","44","76","34","10","41","43","180.7","25.4"
"Saquon Barkley","RB","PHI","16","773","48","78","36","6","41","43","195.3","25.3"
"Sam Darnold","QB","SEA","16","957","60","96","3","0","50","50","240.6","25.1"
"Carson Wentz","QB","MIN","5","300","60","94","4","0","60","60","75.3","25.1"
"Bam Knight","RB","ARI","10","283","28","40","29","11","37","40","70.9","25.1"
"Davis Mills","QB","HOU","5","268","54","77","4","0","60","60","67.0","25.0"
"Mac Jones","QB","SF","11","546","50","76","7","0","60","60","136.2","24.9"
"Aaron Jones Sr.","RB","MIN","12","366","31","55","36","11","44","47","90.7","24.8"
"Kareem Hunt","RB","KC","16","504","32","48","31","4","34","36","123.9","24.6"
"C.J. Stroud","QB","HOU","13","824","63","93","6","0","54","54","199.4","24.2"
"Russell Wilson","QB","NYG","6","220","37","53","8","0","62","62","52.8","24.0"
"Shedeur Sanders","QB","CLE","7","376","54","91","5","0","55","55","90.0","23.9"
"Tony Pollard","RB","TEN","16","623","39","62","37","6","41","43","146.3","23.5"
"Rashee Rice","WR","KC","8","415","52","73","1","19","14","20","97.1","23.4"
"Christian Watson","WR","GB","10","418","42","68","0","13","9","13","97.4","23.3"
"Luke McCaffrey","WR","WAS","8","174","22","35","0","9","6","9","40.3","23.2"
"Bryce Young","QB","CAR","15","913","61","96","6","0","54","54","211.5","23.2"
"Tory Horton","WR","SEA","8","226","28","47","0","10","6","10","52.1","23.1"
"Nick Chubb","RB","HOU","15","326","22","32","37","6","41","44","75.3","23.1"
"Chuba Hubbard","RB","CAR","14","409","29","47","32","9","38","41","93.7","22.9"
"Joe Flacco","QB","CIN","12","689","57","84","3","0","63","63","156.7","22.7"
"Tua Tagovailoa","QB","MIA","14","778","56","96","3","0","52","52","175.6","22.6"
"Woody Marks","RB","HOU","15","540","36","53","34","6","39","41","122.3","22.6"
"Rhamondre Stevenson","RB","NE","13","505","39","60","24","7","30","31","113.5","22.5"
"Michael Penix Jr.","QB","ATL","9","553","61","93","4","0","54","54","123.2","22.3"
"Amon-Ra St. Brown","WR","DET","16","870","54","85","0","18","13","18","193.1","22.2"
"Geno Smith","QB","LV","15","863","58","97","5","0","57","57","190.9","22.1"
"Kimani Vidal","RB","LAC","12","467","39","58","33","4","36","37","100.9","21.6"
"Stefon Diggs","WR","NE","16","571","36","55","0","17","14","17","121.0","21.2"
"Tyrone Tracy Jr.","RB","NYG","14","496","35","54","32","8","38","40","104.9","21.1"
"George Pickens","WR","DAL","16","943","59","83","0","14","10","14","198.0","21.0"
"Tyreek Hill","WR","MIA","4","155","39","69","0","19","14","19","32.5","21.0"
"Spencer Rattler","QB","NO","9","490","54","81","6","0","59","59","103.1","21.0"
"Luther Burden III","WR","CHI","14","368","26","39","1","15","13","17","76.4","20.8"
"Audric Estime","RB","NO","5","124","25","38","20","6","26","27","25.5","20.6"
"Kirk Cousins","QB","ATL","9","480","53","84","2","0","52","52","98.4","20.5"
"Quinn Ewers","QB","MIA","3","126","42","73","6","1","54","54","25.8","20.5"
"Tyler Huntley","QB","BAL","5","197","39","63","12","0","46","46","40.1","20.4"
"Justice Hill","RB","BAL","10","219","22","37","8","12","18","21","44.2","20.2"
"Philip Rivers","QB","IND","3","172","57","97","1","0","55","55","34.7","20.2"
"Nico Collins","WR","HOU","15","778","52","77","0","15","9","16","155.2","19.9"
"George Kittle","TE","SF","10","514","51","79","0","12","10","12","101.6","19.8"
"Tee Higgins","WR","CIN","14","710","51","80","0","13","7","13","139.9","19.7"
"Tucker Kraft","TE","GB","8","439","55","86","0","10","8","10","85.2","19.4"
"Dillon Gabriel","QB","CLE","10","372","37","56","4","0","53","53","72.0","19.4"
"Chris Olave","WR","NO","16","887","55","84","0","18","11","18","169.0","19.1"
"Ja'Marr Chase","WR","CIN","15","919","61","94","0","19","13","19","173.0","18.8"
"Trey McBride","TE","ARI","16","981","61","91","0","16","12","16","183.4","18.7"
"Brock Bowers","TE","LV","12","605","50","85","0","14","11","15","112.2","18.5"
"Drake London","WR","ATL","11","650","59","90","0","16","10","16","120.1","18.5"
"Cam Ward","QB","TEN","16","1,002","63","100","4","0","57","57","184.5","18.4"
"Terry McLaurin","WR","WAS","9","385","43","70","0","15","9","15","70.5","18.3"
"Tyjae Spears","RB","TEN","12","349","29","46","20","12","31","32","64.0","18.3"
"Trey Benson","RB","ARI","4","123","31","48","24","13","34","37","22.4","18.2"
"Jayden Reed","WR","GB","6","162","27","46","2","14","14","15","29.5","18.2"
"Malik Nabers","WR","NYG","4","216","54","78","0","16","8","16","39.1","18.1"
"Jaylen Waddle","WR","MIA","16","724","45","78","0","14","9","14","130.1","18.0"
"Rachaad White","RB","TB","16","552","35","52","23","8","30","30","98.9","17.9"
"Parker Washington","WR","JAC","15","627","42","61","1","14","10","15","112.0","17.9"
"CeeDee Lamb","WR","DAL","13","707","54","75","0","16","11","17","125.5","17.8"
"Samaje Perine","RB","CIN","14","313","22","34","24","5","29","30","55.7","17.8"
"Troy Franklin","WR","DEN","16","645","40","60","1","16","11","17","112.1","17.4"
"Chris Oladokun","QB","KC","2","74","37","84","5","0","57","57","12.8","17.3"
"Deebo Samuel Sr.","WR","WAS","15","664","44","72","2","14","13","16","114.1","17.2"
"Michael Carter","RB","ARI","12","364","30","44","23","12","32","35","62.1","17.1"
"A.J. Brown","WR","PHI","15","843","56","91","0","14","9","14","142.3","16.9"
"Tyquan Thornton","WR","KC","14","368","26","38","0","10","5","10","61.8","16.8"
"Mike Evans","WR","TB","7","307","44","64","0","19","9","19","51.4","16.7"
"Keenan Allen","WR","LAC","16","592","37","55","0","18","13","18","98.1","16.6"
"Quentin Johnston","WR","LAC","14","723","52","77","0","12","7","12","120.2","16.6"
"Garrett Wilson","WR","NYJ","7","383","55","89","0","15","9","15","63.5","16.6"
"Jalen McMillan","WR","TB","3","101","34","51","1","14","12","15","16.8","16.6"
"Marquise Brown","WR","KC","15","499","33","51","0","14","9","14","82.3","16.5"
"DK Metcalf","WR","PIT","15","776","52","87","0","13","8","13","128.2","16.5"
"Isiah Pacheco","RB","KC","13","424","33","52","28","6","32","34","68.3","16.1"
"Devin Neal","RB","NO","9","268","30","45","21","7","28","28","43.0","16.0"
"Jameson Williams","WR","DET","16","923","58","90","1","10","7","11","147.5","16.0"
"Dallas Goedert","TE","PHI","15","787","52","85","0","10","8","10","125.1","15.9"
"Zay Flowers","WR","BAL","16","829","52","86","1","14","11","15","131.5","15.9"
"Greg Dortch","WR","ARI","12","292","24","35","2","11","12","14","46.1","15.8"
"KaVontae Turpin","WR","DAL","14","371","27","37","4","10","11","14","57.8","15.6"
"Emeka Egbuka","WR","TB","16","847","53","79","0","15","8","15","131.9","15.6"
"Courtland Sutton","WR","DEN","16","929","58","86","0","13","8","13","145.2","15.6"
"Ryan Flournoy","WR","DAL","14","431","31","44","1","11","9","12","67.2","15.6"
"Greg Dulcich","TE","MIA","9","216","24","41","0","13","11","14","33.7","15.6"
"Kayshon Boutte","WR","NE","13","573","44","68","0","7","5","7","88.7","15.5"
"Marvin Harrison Jr.","WR","ARI","12","566","47","72","0","13","7","13","86.8","15.3"
"Tetairoa McMillan","WR","CAR","16","880","55","87","0","13","8","13","134.9","15.3"
"Marvin Mims Jr.","WR","DEN","14","360","26","38","3","13","13","17","55.0","15.3"
"Jauan Jennings","WR","SF","14","758","54","82","0","11","7","11","114.8","15.1"
"Mason Rudolph","QB","PIT","5","113","23","38","6","0","52","52","17.0","15.0"
"Jake Tonges","TE","SF","16","399","25","37","0","12","9","12","59.3","14.9"
"Khalil Shakir","WR","BUF","16","635","40","60","0","15","11","15","94.4","14.9"
"Alvin Kamara","RB","NO","11","457","42","63","29","9","36","37","67.7","14.8"
"Isaac TeSlaa","WR","DET","16","392","25","38","0","7","4","7","58.1","14.8"
"Harold Fannin Jr.","TE","CLE","16","786","49","76","1","14","10","15","114.4","14.6"
"Rashid Shaheed","WR","SEA","17","672","40","61","1","14","10","15","97.4","14.5"
"Michael Wilson","WR","ARI","16","872","55","81","0","14","8","14","126.7","14.5"
"Alec Pierce","WR","IND","14","769","55","87","0","10","6","10","111.1","14.4"
"Pat Freiermuth","TE","PIT","16","470","29","49","0","10","8","10","67.5","14.4"
"Romeo Doubs","WR","GB","16","780","49","78","0","11","7","11","110.4","14.2"
"Jordan Addison","WR","MIN","13","652","50","85","0","12","7","12","92.3","14.2"
"Michael Pittman Jr.","WR","IND","16","860","54","85","0","12","9","12","121.3","14.1"
"Colston Loveland","TE","CHI","15","651","43","63","0","11","8","11","92.0","14.1"
"Jake Ferguson","TE","DAL","16","753","47","67","0","13","11","13","105.6","14.0"
"Mike Gesicki","TE","CIN","12","295","25","38","0","14","9","14","41.4","14.0"
"Zach Ertz","TE","WAS","13","551","42","67","0","13","9","13","76.4","13.9"
"Rome Odunze","WR","CHI","12","733","61","88","0","12","6","12","102.1","13.9"
"Ladd McConkey","WR","LAC","16","838","52","78","0","13","8","13","114.9","13.7"
"DeVonta Smith","WR","PHI","16","879","55","89","0","12","8","12","119.6","13.6"
"Travis Kelce","TE","KC","16","851","53","81","0","12","9","12","116.0","13.6"
"Hunter Henry","TE","NE","16","835","52","81","0","10","7","10","113.2","13.6"
"Mark Andrews","TE","BAL","16","601","38","62","2","11","9","13","81.6","13.6"
"Oronde Gadsden II","TE","LAC","14","595","43","63","0","11","8","11","80.1","13.5"
"Josh Downs","WR","IND","15","553","37","58","0","15","10","15","72.8","13.2"
"Tyler Warren","TE","IND","16","846","53","84","1","12","9","13","109.9","13.0"
"Kyle Pitts Sr.","TE","ATL","16","903","56","87","0","12","9","12","117.0","13.0"
"Jayden Higgins","WR","HOU","16","616","39","56","0","10","6","10","80.2","13.0"
"Wan'Dale Robinson","WR","NYG","16","973","61","91","0","14","10","15","125.9","12.9"
"Sam LaPorta","TE","DET","9","517","57","90","0","9","8","9","66.9","12.9"
"Chris Godwin Jr.","WR","TB","8","381","48","71","0","13","8","13","49.2","12.9"
"Tez Johnson","WR","TB","15","486","32","49","1","9","7","10","62.4","12.8"
"Colby Parkinson","TE","LAR","14","558","40","59","0","9","7","9","71.2","12.8"
"DJ Moore","WR","CHI","16","932","58","85","2","9","7","11","119.1","12.8"
"Chimere Dike","WR","TEN","16","592","37","59","2","12","9","14","75.4","12.7"
"Juwan Johnson","TE","NO","16","799","50","76","0","12","9","12","98.8","12.4"
"Brian Thomas Jr.","WR","JAC","13","706","54","79","0","12","7","13","85.9","12.2"
"Calvin Ridley","WR","TEN","7","250","36","58","0","14","7","14","30.3","12.1"
"AJ Barner","TE","SEA","16","785","49","79","1","8","8","10","93.9","12.0"
"Justin Jefferson","WR","MIN","16","890","56","95","0","15","9","15","107.1","12.0"
"Jalen Coker","WR","CAR","10","392","39","66","0","9","7","9","46.7","11.9"
"Malik Washington","WR","MIA","16","524","33","57","3","12","11","15","61.9","11.8"
"Jakobi Meyers","WR","JAC","15","824","55","85","1","13","9","13","96.4","11.7"
"Austin Ekeler","RB","WAS","2","69","35","50","20","10","28","30","8.1","11.7"
"Adonai Mitchell","WR","NYJ","15","473","32","50","0","15","7","15","54.9","11.6"
"Noah Fant","TE","CIN","14","364","26","39","0","11","9","11","42.3","11.6"
"Tim Patrick","WR","JAC","15","314","21","31","0","7","4","7","36.3","11.6"
"Albert Okwuegbunam Jr.","TE","LV","1","31","31","46","0","19","16","19","3.6","11.6"
"Tre Tucker","WR","LV","16","881","55","95","1","10","7","11","101.3","11.5"
"Terrance Ferguson","TE","LAR","13","356","27","41","0","7","3","7","41.1","11.5"
"Dontayvion Wicks","WR","GB","14","408","29","47","0","11","8","12","45.8","11.2"
"Dalton Schultz","TE","HOU","16","789","49","72","0","13","10","13","88.4","11.2"
"Keon Coleman","WR","BUF","12","515","43","64","0","11","7","11","57.5","11.2"
"Evan Engram","TE","DEN","15","435","29","42","0","17","11","17","48.3","11.1"
"Jalen Nailor","WR","MIN","16","603","38","65","0","8","5","9","66.8","11.1"
"Brenton Strange","TE","JAC","11","553","50","76","0","10","7","10","60.8","11.0"
"Travis Hunter","WR","JAC","7","324","46","67","0","14","9","14","35.8","11.0"
"Ricky Pearsall","WR","SF","9","480","53","78","0","11","8","11","52.6","11.0"
"Kalif Raymond","WR","DET","14","344","25","38","1","8","7","8","37.6","10.9"
"Chig Okonkwo","TE","TEN","16","623","39","62","0","12","9","12","67.8","10.9"
"Andy Dalton","QB","CAR","4","97","24","37","5","0","43","43","10.5","10.8"
"Calvin Austin III","WR","PIT","13","409","31","53","0","12","7","12","43.7","10.7"
"Brady Cook","QB","NYJ","4","248","62","98","4","0","57","57","26.3","10.6"
"Xavier Worthy","WR","KC","14","645","46","70","2","11","8","13","67.9","10.5"
"Elijah Moore","WR","BUF","9","186","21","31","3","9","8","12","19.6","10.5"
"David Njoku","TE","CLE","12","514","43","64","0","9","6","9","53.3","10.4"
"Mack Hollins","WR","NE","15","657","44","68","0","10","7","10","67.4","10.3"
"Josh Oliver","TE","MIN","14","369","26","46","0","5","4","5","37.1","10.1"
"Hunter Renfrow","WR","CAR","6","210","35","51","0","12","7","12","20.9","10.0"
"Matthew Golden","WR","GB","13","401","31","50","2","10","9","13","40.2","10.0"
"Isaiah Williams","WR","NYJ","10","304","30","49","1","10","8","11","30.3","10.0"
"Tyler Higbee","TE","LAR","9","318","35","54","0","9","6","9","31.0","9.7"
"Elic Ayomanor","WR","TEN","15","736","49","79","0","11","5","11","70.5","9.6"
"Kendrick Bourne","WR","SF","15","572","38","57","0","9","6","9","55.1","9.6"
"Devaughn Vele","WR","NO","13","437","34","51","0","9","6","9","41.3","9.5"
"Jaylin Lane","WR","WAS","15","348","23","37","0","9","5","9","33.2","9.5"
"Theo Johnson","TE","NYG","15","872","58","86","0","8","5","8","82.8","9.5"
"Cooper Kupp","WR","SEA","15","715","48","76","0","9","6","10","67.4","9.4"
"Jonnu Smith","TE","PIT","16","503","31","53","2","10","9","12","46.8","9.3"
