"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Pat Bryant","WR","DEN","14","436","31","46","0","10","6","10","40.7","9.3"
"Kevin Austin Jr.","WR","NO","7","176","25","36","0","8","5","8","16.3","9.3"
"Curtis Samuel","WR","BUF","6","151","25","40","0","6","5","6","14.1","9.3"
"Joshua Palmer","WR","BUF","11","330","30","46","0","10","6","10","30.2","9.2"
"Dawson Knox","TE","BUF","16","649","41","61","0","7","5","7","59.3","9.1"
"John Metchie III","WR","NYJ","15","411","27","45","1","11","8","11","36.9","9.0"
"Gunnar Helm","TE","TEN","16","533","33","53","0","10","8","10","47.7","8.9"
"T.J. Hockenson","TE","MIN","15","691","46","79","0","10","8","10","61.8","8.9"
"Tyler Johnson","WR","NYJ","12","292","24","39","0","6","4","6","25.7","8.8"
"Xavier Hutchinson","WR","HOU","16","618","39","57","0","8","5","8","54.6","8.8"
"Demarcus Robinson","WR","SF","13","383","29","44","0","8","5","8","33.8","8.8"
"Sterling Shepard","WR","TB","13","495","38","57","1","11","9","12","43.0","8.7"
"Tyler Lockett","WR","LV","16","466","29","50","0","11","7","11","40.6","8.7"
"Michael Mayer","TE","LV","12","406","34","57","0","11","8","11","34.1","8.4"
"Dyami Brown","WR","JAC","13","348","27","39","2","10","7","12","28.9","8.3"
"Xavier Legette","WR","CAR","14","626","45","71","0","10","5","10","52.1","8.3"
"Darius Slayton","WR","NYG","13","690","53","81","0","8","5","8","56.4","8.2"
"Noah Brown","WR","WAS","4","102","26","40","0","10","5","10","8.3","8.1"
"Olamide Zaccheaus","WR","CHI","15","574","38","56","1","11","7","12","45.8","8.0"
"Hunter Long","TE","JAC","9","258","29","41","0","7","5","7","20.5","7.9"
"Jackson Hawes","TE","BUF","16","465","29","44","0","4","3","4","36.7","7.9"
"Jerry Jeudy","WR","CLE","16","875","55","85","0","11","5","11","68.5","7.8"
"Mitchell Evans","TE","CAR","16","370","23","37","0","6","5","6","28.7","7.8"
"Darnell Washington","TE","PIT","16","546","34","57","0","8","6","8","42.4","7.8"
"Cedric Tillman","WR","CLE","12","475","40","62","0","8","4","8","36.7","7.7"
"Austin Hooper","TE","NE","15","488","33","50","0","5","4","5","37.8","7.7"
"Christian Kirk","WR","HOU","12","394","33","48","0","13","7","13","30.2","7.7"
"Tre Harris","WR","LAC","16","486","30","45","0","8","6","8","36.6","7.5"
"Isaiah Bond","WR","CLE","15","466","31","49","1","9","5","10","35.0","7.5"
"Robbie Chosen","WR","WAS","3","72","24","38","0","13","7","13","5.3","7.4"
"Jack Bech","WR","LV","14","307","22","38","0","9","7","9","22.4","7.3"
"Davis Allen","TE","LAR","16","532","33","50","0","6","5","6","38.8","7.3"
"Treylon Burks","WR","WAS","7","245","35","58","0","7","3","7","17.8","7.3"
"Van Jefferson","WR","TEN","16","583","36","58","0","9","5","9","41.0","7.0"
"Tyrell Shavers","WR","BUF","16","437","27","41","0","5","3","5","30.5","7.0"
"JuJu Smith-Schuster","WR","KC","16","570","36","54","0","8","5","8","39.2","6.9"
"Mason Taylor","TE","NYJ","13","654","50","81","0","10","7","10","44.9","6.9"
"Elijah Arroyo","TE","SEA","13","316","24","39","0","8","5","8","21.9","6.9"
"Andrei Iosivas","WR","CIN","16","815","51","78","0","7","4","7","55.9","6.9"
"Lil'Jordan Humphrey","WR","DEN","9","313","35","51","0","8","4","8","21.6","6.9"
"Zay Jones","WR","ARI","8","271","34","50","0","7","4","7","18.3","6.8"
"Chris Moore","WR","WAS","13","406","31","51","0","6","3","6","27.6","6.8"
"Isaiah Likely","TE","BAL","13","463","36","58","0","7","5","7","31.5","6.8"
"Charlie Kolar","TE","BAL","16","389","24","40","0","4","3","4","26.2","6.7"
"Darnell Mooney","WR","ATL","14","726","52","82","0","9","4","9","48.3","6.7"
"Kyle Juszczyk","RB","SF","16","491","31","45","0","5","5","6","32.5","6.6"
"Rashod Bateman","WR","BAL","13","551","42","69","0","7","3","7","36.4","6.6"
"Jerome Ford","RB","CLE","13","269","21","31","9","12","19","21","17.6","6.5"
"Jalen Tolbert","WR","DAL","12","443","37","52","0","7","4","7","28.3","6.4"
"Ja'Tavion Sanders","TE","CAR","13","393","30","49","0","9","7","9","25.0","6.4"
"Daniel Bellinger","TE","NYG","15","486","32","48","0","5","3","5","30.8","6.3"
"Cole Kmet","TE","CHI","15","719","48","69","0","6","4","6","45.1","6.3"
"Nate Adkins","TE","DEN","8","176","22","32","0","6","3","6","10.8","6.1"
"Isaiah Hodgins","WR","NYG","6","291","49","73","0","6","3","6","17.5","6.0"
"Luke Musgrave","TE","GB","16","426","27","43","0","7","6","7","25.2","5.9"
"David Sills V","WR","ATL","16","520","33","50","0","7","3","7","30.0","5.8"
"Elijah Higgins","TE","ARI","16","442","28","41","0","8","6","8","25.3","5.7"
"Brock Wright","TE","DET","11","401","36","57","0","5","3","5","22.8","5.7"
"Jared Wayne","WR","HOU","1","35","35","44","0","6","6","6","2.0","5.7"
"Justin Watson","WR","HOU","2","55","28","49","0","7","5","7","3.0","5.5"
"Marquez Valdes-Scantling","WR","PIT","9","276","31","44","0","8","3","8","14.6","5.3"
"Jahan Dotson","WR","PHI","16","539","34","54","0","5","3","5","28.2","5.2"
"Brandin Cooks","WR","BUF","15","537","36","55","0","7","4","7","27.9","5.2"
"Casey Washington","WR","ATL","7","181","26","40","0","8","3","8","9.4","5.2"
"Allen Lazard","WR","NYJ","10","250","25","39","0","7","4","7","13.0","5.2"
"Gabe Davis","WR","BUF","5","168","34","50","0","7","4","7","8.8","5.2"
"Jeremy Ruckert","TE","NYJ","16","465","29","47","0","6","5","6","23.9","5.1"
"Cade Otton","TE","TB","15","929","62","93","0","8","6","8","47.8","5.1"
"Max Brosmer","QB","MIN","6","154","26","45","5","0","45","45","7.9","5.1"
"Jamari Thrash","WR","CLE","9","216","24","35","0","7","5","7","10.7","5.0"
"Cooper Rush","QB","BAL","4","116","29","50","3","0","48","48","5.8","5.0"
"Adam Thielen","WR","PIT","15","337","22","37","0","9","5","9","16.3","4.8"
"Luke Farrell","TE","SF","16","396","25","37","0","4","3","4","18.5","4.7"
"Tommy Tremble","TE","CAR","16","590","37","58","0","6","4","6","27.1","4.6"
"Konata Mumpfield","WR","LAR","16","339","21","32","0","6","3","6","15.2","4.5"
"Josh Reynolds","WR","NYJ","5","273","55","83","0","8","4","8","12.1","4.4"
"Jordan Whittington","WR","LAR","16","443","28","42","1","6","5","6","18.3","4.1"
"Adam Trautman","TE","DEN","16","617","39","57","0","4","3","4","25.5","4.1"
"Mo Alie-Cox","TE","IND","16","392","25","39","0","4","3","4","15.5","4.0"
"John FitzPatrick","TE","GB","15","335","22","35","0","4","4","4","13.2","3.9"
"Ian Thomas","TE","LV","14","294","21","35","0","4","4","4","11.4","3.9"
"Anthony Firkser","TE","DET","6","136","23","34","0","5","4","5","5.1","3.8"
"Julian Hill","TE","MIA","13","407","31","55","0","5","3","5","15.2","3.7"
"Dont'e Thornton Jr.","WR","LV","14","391","28","48","0","7","3","7","13.5","3.5"
"Ray-Ray McCloud III","WR","NYG","6","211","35","52","0","7","3","7","6.9","3.3"
"Luke Schoonmaker","TE","DAL","16","375","23","33","0","6","3","6","12.0","3.2"
"Mason Tipton","WR","NO","13","297","23","35","1","6","5","7","9.4","3.2"
"Cade Stover","TE","HOU","8","230","29","43","2","6","7","8","7.0","3.0"
"Noah Gray","TE","KC","15","509","34","52","0","6","4","6","14.8","2.9"
"Xavier Weaver","WR","ARI","8","229","29","42","0","6","3","6","6.7","2.9"
"Drew Sample","TE","CIN","16","546","34","52","0","3","2","3","15.2","2.8"
"Johnny Mundt","TE","JAC","15","370","25","36","0","5","2","5","9.5","2.6"
"Nick Westbrook-Ikhine","WR","MIA","14","380","27","47","0","5","3","5","8.9","2.3"
"Foster Moreau","TE","NO","11","253","23","35","0","4","3","4","5.9","2.3"
"John Bates","TE","WAS","14","438","31","50","0","3","2","3","9.0","2.1"
"Jalin Hyatt","WR","NYG","7","171","24","34","0","8","3","8","3.5","2.0"
