"Rank","Player","TGT","TGT %","REC","YDS","Y/R","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"305","Tyler Scott (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"306","Dennis Houston (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"307","Irvin Charles (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"308","Jalen Cropper (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"309","Tank Dell (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9%"
"310","Maurice Alexander (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"311","Jacob Cowing (SF)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"312","Johnny Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"313","Trey Palmer (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"314","Bryce Ford-Wheaton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"315","Steven Sims Jr. (FA)","1","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"316","Patrick Edwards (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"317","Kenny McKinley (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"318","Nate Hughes (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"319","Rod Harper (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"320","Marko Mitchell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"321","Maurice Purify (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"322","Mike Furrey (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"323","Chris Henry (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"324","Bobby Wade (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"325","Demario Ballard (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"326","Sam Giguere (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"327","River Cracraft (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"328","Russell Gage Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"329","Parris Campbell (DAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"330","Quinton Bell (MIA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","1.0%"
"331","Malik Turner (SF)","1","0.2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"332","Laquon Treadwell (IND)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"333","Phillip Dorsett II (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"334","DeAndre Carter (CLE)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"335","Trent Taylor (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"336","Tahj Washington (MIA)","2","0.5","1","11","11.0","0","0","0","0","0","1","5","-0.9","-0.2","1.0%"
"337","Derius Davis (LAC)","2","0.4","1","3","3.0","0","0","2","5","0","1","10","-1.2","-0.1","0.6%"
"338","Ke'Shawn Williams (CIN)","1","0.2","1","5","5.0","0","0","1","1","0","1","10","-1.4","-0.1","0.0%"
"339","Mecole Hardman Jr. (BUF)","1","0.2","0","0","0","0","0","0","0","0","1","2","-2.0","-1.0","1.1%"
"340","LaJohntay Wester (BAL)","0","0","0","0","0","0","0","0","0","0","1","15","-2.0","-0.1","0.7%"
"341","Jamal Agnew (FA)","0","0","0","0","0","0","0","0","0","0","1","11","-2.0","-0.2","0.1%"
"342","Xavier Gipson (NYG)","2","0.4","2","6","3.0","0","0","0","0","0","2","6","-3.4","-0.6","1.1%"
"343","Myles Price (MIN)","0","0","0","0","0","0","0","0","0","0","3","16","-6.0","-0.4","0.7%"
""
""
