Rank,Player,ATT,YDS,Y/A,LG,20+,TD,TGT,REC,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
95,Adam Prentice (DEN),10,44.00,4.4,18,0,0,8,6,53,8.8,0,0,16,9.7,0.6,0.00%
96,Brittain Brown (CHI),5,37.00,7.4,22,1,1,1,0,0,0,0,0,2,9.7,4.9,0.70%
97,Kene Nwangwu (NYJ),6,31.00,5.2,16,0,0,0,0,0,0,0,0,9,9.1,1,0.10%
98,Trevor Etienne (CAR),20,94.00,4.7,22,1,0,3,3,13,4.3,0,1,16,8.7,0.5,1.30%
99,Najee Harris (LAC),15,61.00,4.1,7,0,0,3,3,25,8.3,0,0,3,8.6,2.9,7.20%
100,Austin Ekeler (WAS),14,43.00,3.1,6,0,0,7,5,38,7.6,0,0,3,8.1,2.7,31.30%
101,Kaleb Johnson (PIT),28,69.00,2.5,9,0,0,2,1,9,9,0,0,10,7.8,0.8,14.70%
102,Will Shipley (PHI),13,47.00,3.6,20,1,0,9,7,45,6.4,0,1,14,7.2,0.5,3.00%
103,Cam Akers (SEA),5,19.00,3.8,14,0,0,1,0,0,0,0,0,3,7.2,2.4,0.70%
104,Trayveon Williams (CLE),9,29.00,3.2,11,0,0,7,7,42,6,0,0,6,7.1,1.2,0.10%
105,Jaydon Blue (DAL),22,65.00,3,14,0,0,1,1,5,5,0,0,4,7,1.8,10.30%
106,C.J. Ham (MIN),2,4.00,2,3,0,1,1,1,5,5,0,0,10,6.9,0.7,0.60%
107,DJ Giddens (IND),18,66.00,3.7,12,0,0,2,0,0,0,0,0,8,6.6,0.8,1.80%
108,A.J. Dillon (PHI),12,60.00,5,11,0,0,2,2,18,9,0,1,6,5.8,1,1.30%
109,Alec Ingold (MIA),2,9.00,4.5,6,0,0,9,7,49,7,0,0,16,5.8,0.4,0.60%
110,Hassan Haskins (LAC),16,44.00,2.8,10,0,0,4,4,13,3.3,0,0,12,5.7,0.5,1.30%
111,Tahj Brooks (CIN),16,45.00,2.8,7,0,0,2,1,9,9,0,0,12,5.4,0.5,1.50%
112,Ronnie Rivers (LAR),9,46.00,5.1,9,0,0,0,0,0,0,0,0,6,4.6,0.8,0.60%
113,Zamir White (LV),11,27.00,2.5,9,0,0,5,3,19,6.3,0,0,4,4.6,1.2,0.90%
114,Corey Kiner (ARI),9,45.00,5,9,0,0,0,0,0,0,0,0,3,4.5,1.5,1.00%
115,Evan Hull (NO),17,37.00,2.2,6,0,0,1,1,6,6,0,0,5,4.3,0.9,1.10%
116,Nathan Carter (ATL),9,60.00,6.7,12,0,0,0,0,0,0,0,1,3,4,1.3,0.00%
117,Julius Chestnut (TEN),11,40.00,3.6,27,1,0,2,0,0,0,0,0,16,4,0.3,1.10%
118,Tyler Goodson (IND),8,21.00,2.6,6,0,0,3,2,8,4,0,0,10,2.9,0.3,0.70%
119,Dylan Laube (LV),7,9.00,1.3,3,0,0,4,3,18,6,0,0,16,2.7,0.2,0.60%
120,Dameon Pierce (KC),10,26.00,2.6,10,0,0,1,0,0,0,0,0,4,2.6,0.7,3.60%
121,Ty Chandler (MIN),7,24.00,3.4,5,0,0,0,0,0,0,0,0,2,2.4,1.2,0.90%
122,Clyde Edwards-Helaire (FA),7,13.00,1.9,7,0,0,2,2,9,4.5,0,0,2,2.2,1.1,0.60%
123,DeeJay Dallas (JAC),3,21.00,7,17,0,0,1,0,0,0,0,0,4,2.1,0.5,0.00%
124,Jacardia Wright (SEA),5,20.00,4,10,0,0,0,0,0,0,0,0,1,2,2,0.00%
125,Roschon Johnson (CHI),2,17.00,8.5,11,0,0,0,0,0,0,0,0,6,1.7,0.3,1.80%
126,British Brooks (HOU),4,15.00,3.8,9,0,0,0,0,0,0,0,0,12,1.5,0.1,0.00%
127,D'Ernest Johnson (NE),9,12.00,1.3,5,0,0,0,0,0,0,0,0,5,1.2,0.2,1.00%
128,Jacob Saylors (DET),2,11.00,5.5,9,0,0,0,0,0,0,0,0,11,1.1,0.1,0.10%
129,Josh Williams (TB),4,11.00,2.8,4,0,0,0,0,0,0,0,0,2,1.1,0.6,0.00%
130,Khalil Herbert (NYJ),4,10.00,2.5,4,0,0,2,0,0,0,0,0,4,1,0.3,1.10%
131,Amar Johnson (LAC),2,8.00,4,6,0,0,1,0,0,0,0,0,1,0.8,0.8,0.00%
132,Kalel Mullings (TEN),3,7.00,2.3,4,0,0,0,0,0,0,0,0,5,0.7,0.1,0.60%
133,Owen Wright (TB),3,6.00,2,4,0,0,0,0,0,0,0,0,3,0.6,0.2,0.00%
134,Myles Gaskin (FA),3,6.00,2,3,0,0,0,0,0,0,0,0,1,0.6,0.6,0.00%
135,Sione Vaki (DET),1,4.00,4,4,0,0,0,0,0,0,0,0,7,0.4,0.1,1.10%
136,Craig Reynolds (NE),3,4.00,1.3,3,0,0,0,0,0,0,0,0,6,0.4,0.1,0.60%
137,Patrick Ricard (BAL),1,3.00,3,3,0,0,1,0,0,0,0,0,11,0.3,0,1.40%
138,Reggie Gilliam (BUF),0,0.00,0,0,0,0,1,1,2,2,0,0,16,0.2,0,0.00%
139,Kendall Milton (FA),2,2.00,1,2,0,0,0,0,0,0,0,0,1,0.2,0.2,0.00%
140,Keilan Robinson (NYJ),0,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
141,Elijah Mitchell (FA),0,0.00,0,0,0,0,1,0,0,0,0,0,1,0,0,0.80%
142,Javian Hawkins (TEN),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
143,Raheem Blackshear (FA),0,0.00,0,0,0,0,0,0,0,0,0,0,1,0,0,1.40%
144,Salvon Ahmed (IND),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
145,Patrick Taylor Jr. (SF),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30%
146,Trey Sermon (PIT),0,0.00,0,0,0,0,0,0,0,0,0,0,3,0,0,1.00%
147,Isaac Guerendo (SF),0,0.00,0,0,0,0,0,0,0,0,0,0,8,0,0,2.80%
148,Blake Watson (TEN),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10%
149,Michael Wiley (TB),0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
