"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Jordan Love","QB","GB","8","449","56","88","5","0","55","55","108.4","24.1"
"Marcus Mariota","QB","WAS","7","321","46","72","10","0","53","53","76.7","23.9"
"Shedeur Sanders","QB","CLE","7","376","54","91","5","0","55","55","90.0","23.9"
"Geno Smith","QB","LV","8","453","57","96","4","0","58","58","106.9","23.6"
"Lamar Jackson","QB","BAL","8","452","57","93","9","0","51","51","106.0","23.5"
"Tyrone Tracy Jr.","RB","NYG","8","325","41","62","35","7","40","42","76.2","23.4"
"J.K. Dobbins","RB","DEN","2","61","31","49","54","3","57","57","14.3","23.4"
"Stefon Diggs","WR","NE","8","292","37","56","0","17","14","17","68.0","23.3"
"Ashton Jeanty","RB","LV","9","427","47","83","30","11","39","41","99.6","23.3"
"Christian Watson","WR","GB","9","382","42","69","0","13","8","14","88.9","23.3"
"Patrick Mahomes II","QB","KC","6","412","69","99","4","0","58","58","95.7","23.2"
"Sam Darnold","QB","SEA","9","547","61","96","3","0","51","51","126.4","23.1"
"Saquon Barkley","RB","PHI","8","398","50","77","38","6","42","44","91.5","23.0"
"Javonte Williams","RB","DAL","8","367","46","63","35","5","38","40","83.2","22.7"
"Dillon Gabriel","QB","CLE","4","102","26","40","7","0","49","49","23.0","22.5"
"Darren Waller","TE","MIA","5","129","26","45","1","17","12","18","29.0","22.5"
"Drake London","WR","ATL","5","283","57","90","0","14","9","14","63.2","22.3"
"Bam Knight","RB","ARI","7","201","29","41","26","12","35","38","44.7","22.2"
"Cam Ward","QB","TEN","8","507","63","100","4","0","56","56","111.8","22.1"
"Kirk Cousins","QB","ATL","7","415","59","91","2","0","50","50","90.1","21.7"
"Nico Collins","WR","HOU","9","487","54","79","0","15","9","15","104.5","21.5"
"Terry McLaurin","WR","WAS","5","207","41","69","0","17","10","17","44.2","21.4"
"Samaje Perine","RB","CIN","6","138","23","32","33","6","38","38","29.4","21.3"
"Mike Gesicki","TE","CIN","6","166","28","39","0","14","11","14","35.3","21.3"
"Trey McBride","TE","ARI","9","552","61","91","0","17","13","17","117.3","21.3"
"C.J. Stroud","QB","HOU","6","366","61","88","5","0","51","51","77.7","21.2"
"Michael Wilson","WR","ARI","9","512","57","84","0","18","11","18","107.1","20.9"
"Aaron Rodgers","QB","PIT","8","445","56","93","2","0","57","57","92.9","20.9"
"George Kittle","TE","SF","7","396","57","86","0","13","11","13","82.8","20.9"
"Parker Washington","WR","JAC","8","377","47","70","1","14","10","14","78.4","20.8"
"Quinn Ewers","QB","MIA","2","114","57","100","5","1","52","52","23.7","20.8"
"Brock Bowers","TE","LV","8","424","53","93","0","14","11","14","87.7","20.7"
"Jayden Daniels","QB","WAS","2","96","48","82","15","0","58","58","19.9","20.7"
"Audric Estime","RB","NO","5","124","25","38","20","6","26","27","25.5","20.6"
"Luther Burden III","WR","CHI","7","257","37","52","1","16","13","17","52.7","20.5"
"Kareem Hunt","RB","KC","8","316","40","63","30","4","33","34","63.7","20.2"
"Philip Rivers","QB","IND","3","172","57","97","1","0","55","55","34.7","20.2"
"Amon-Ra St. Brown","WR","DET","9","485","54","82","0","20","12","20","96.4","19.9"
"Rashee Rice","WR","KC","6","323","54","77","1","18","12","19","64.4","19.9"
"Jameson Williams","WR","DET","9","538","60","91","1","12","8","12","106.5","19.8"
"Emari Demercado","RB","ARI","6","128","21","32","27","12","34","38","25.3","19.8"
"George Pickens","WR","DAL","8","477","60","82","0","15","10","15","93.5","19.6"
"Woody Marks","RB","HOU","8","343","43","62","38","4","40","42","66.4","19.4"
