"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"98","Jerome Ford (CLE)","3","0","0.0","2","0","0","7","5","27","5.4","0","0","5","2.7","0.5","19.2%"
"99","Ty Chandler (MIN)","7","24","3.4","5","0","0","0","0","0","0","0","0","1","2.4","2.4","0.9%"
"100","Clyde Edwards-Helaire (FA)","7","13","1.9","7","0","0","2","2","9","4.5","0","0","2","2.2","1.1","0.6%"
"101","DeeJay Dallas (JAC)","2","21","10.5","17","0","0","1","0","0","0","0","0","2","2.1","1.1","0.0%"
"102","Tyler Goodson (IND)","4","13","3.3","6","0","0","2","1","8","8.0","0","0","7","2.1","0.3","0.7%"
"103","Alec Ingold (MIA)","1","6","6.0","6","0","0","2","2","13","6.5","0","0","8","1.9","0.2","0.6%"
"104","Hassan Haskins (LAC)","4","14","3.5","7","0","0","0","0","0","0","0","0","5","1.4","0.3","1.3%"
"105","D'Ernest Johnson (NE)","8","12","1.5","5","0","0","0","0","0","0","0","0","4","1.2","0.3","1.0%"
"106","Khalil Herbert (NYJ)","4","10","2.5","4","0","0","2","0","0","0","0","0","3","1.0","0.3","1.1%"
"107","Amar Johnson (LAC)","2","8","4.0","6","0","0","1","0","0","0","0","0","1","0.8","0.8","0.0%"
"108","Kalel Mullings (TEN)","3","7","2.3","4","0","0","0","0","0","0","0","0","5","0.7","0.1","0.6%"
"109","Owen Wright (TB)","3","6","2.0","4","0","0","0","0","0","0","0","0","2","0.6","0.3","0.0%"
"110","Myles Gaskin (FA)","3","6","2.0","3","0","0","0","0","0","0","0","0","1","0.6","0.6","0.0%"
"111","Trevor Etienne (CAR)","1","2","2.0","2","0","0","1","1","4","4.0","0","0","8","0.6","0.1","1.3%"
"112","Julius Chestnut (TEN)","3","4","1.3","3","0","0","0","0","0","0","0","0","8","0.4","0.1","1.1%"
"113","Sione Vaki (DET)","1","4","4.0","4","0","0","0","0","0","0","0","0","6","0.4","0.1","1.1%"
"114","Dylan Laube (LV)","2","4","2.0","3","0","0","0","0","0","0","0","0","9","0.4","0.0","0.6%"
"115","Patrick Ricard (BAL)","1","3","3.0","3","0","0","1","0","0","0","0","0","9","0.3","0.0","1.4%"
"116","Kendall Milton (FA)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.0%"
"117","Reggie Gilliam (BUF)","0","0","0","0","0","0","1","1","2","2.0","0","0","9","0.2","0.0","0.0%"
"118","Zamir White (LV)","1","2","2.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","0.9%"
"119","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"120","Elijah Mitchell (FA)","0","0","0","0","0","0","1","0","0","0","0","0","1","0.0","0.0","0.8%"
"121","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Antonio Gibson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"123","Trey Sermon (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"124","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"125","Najee Harris (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.2%"
"126","Cam Akers (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"127","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"128","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Deneric Prince (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Brady Russell (SEA)","0","0","0","0","0","0","1","0","0","0","0","0","8","0.0","0.0","0.0%"
"132","Ben VanSumeren (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"133","Jacob Saylors (DET)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.1%"
"134","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Anthony Tyus III (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Montrell Johnson Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"137","Nathan Carter (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"139","Damien Martinez (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"140","Scott Matlock (LAC)","0","0","0","0","0","0","3","3","11","3.7","1","0","8","0.0","0.0","4.6%"
"141","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"143","Roschon Johnson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.8%"
"144","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.7%"
"145","Trey Benson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","39.6%"
"146","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Jordan James (SF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.9%"
"148","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"149","Cam Skattebo (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30.4%"
"150","Josh Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","DJ Giddens (IND)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.8%"
"152","Carson Steele (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"153","Jack Westover (NE)","0","0","0","0","0","0","1","0","0","0","0","0","8","0.0","0.0","0.0%"
"154","Isaac Guerendo (SF)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","2.8%"
"155","Blake Watson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"156","Michael Wiley (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Cody Schrader (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"159","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"160","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","British Brooks (HOU)","2","0","0.0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"162","Colson Yankoff (WAS)","0","0","0","0","0","0","3","2","18","9.0","0","0","6","0.0","0.0","1.1%"
"163","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"164","Max Hurleman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Lucas Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"167","Ulysses Bentley IV (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"169","ShunDerrick Powell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"171","Ja'Quinden Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"172","Deuce Vaughn (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"173","Jashaun Corbin (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"174","Dameon Pierce (KC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","3.6%"
"175","Phil Mafah (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"176","Eric Gray (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.0%"
"177","Donovan Edwards (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"178","Jabari Small (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.0%"
"180","Israel Abanikanda (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"181","Braelon Allen (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.9%"
"182","Jaydon Blue (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.3%"
"183","Jarquez Hunter (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"184","Velus Jones Jr. (SEA)","4","32","8.0","25","1","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"185","Jacardia Wright (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"187","Pierre Strong Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"188","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"189","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"198","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Royce Freeman (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Chase Edmonds (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"202","Austin Ekeler (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","31.3%"
"203","James Conner (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","45.4%"
"204","Joe Mixon (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45.7%"
"205","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"206","Alexander Mattison (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.6%"
"207","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"208","Craig Reynolds (NE)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"209","Andrew Beck (NYJ)","1","5","5.0","5","0","0","3","2","27","13.5","0","0","8","0.0","0.0","0.0%"
"210","Jakob Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"211","Miles Sanders (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"212","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Michael Burton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Travis Homer (CHI)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","5","-0.2","0.0","0.6%"
""
""
