"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"153","Velus Jones Jr. (SEA)","3","11","3.7","6","0","0","1","1","8","8.0","0","1","2","0.0","0.0","0.0%"
"154","Jabari Small (DET)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"155","John Kelly Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"156","Nyheim Miller-Hines (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"157","Trayveon Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"158","Jakob Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"159","Khari Blasingame (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"160","Andrew Beck (NYJ)","0","0","0","0","0","0","2","0","0","0","0","0","2","0.0","0.0","0.0%"
"161","Dylan Laube (LV)","1","0","0.0","0","0","0","0","0","0","0","0","1","5","-2.0","-0.4","0.6%"
""
""
