"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"52","Chris Oladokun (KC)","24","38","63.2","177","4.7","1","0","5","4","18","0","0","2","12.8","6.4","0.3%"
"53","Andy Dalton (CAR)","25","37","67.6","293","7.9","1","1","8","5","-2","0","2","4","10.5","2.6","0.7%"
"54","Riley Leonard (IND)","18","33","54.5","145","4.4","0","2","1","3","6","1","0","4","10.4","2.6","0.7%"
"55","Kenny Pickett (LV)","27","41","65.9","185","4.5","1","1","6","4","13","0","1","5","9.7","1.9","1.3%"
"56","Josh Johnson (WAS)","20","32","62.5","241","7.5","0","1","2","3","10","0","0","4","9.6","2.4","1.0%"
"57","Max Brosmer (MIN)","40","63","63.5","271","4.3","0","4","12","7","11","0","0","6","7.9","1.3","0.8%"
"58","Joe Milton III (DAL)","8","11","72.7","110","10.0","1","1","0","1","7","0","1","3","6.0","2.0","0.7%"
"59","Cooper Rush (BAL)","34","52","65.4","303","5.8","0","4","1","4","-4","0","1","4","5.8","1.5","0.7%"
"60","Trey Lance (LAC)","7","13","53.8","90","6.9","0","0","2","8","16","0","0","3","5.3","1.8","0.9%"
"61","Teddy Bridgewater (TB)","8","15","53.3","62","4.1","0","0","2","3","4","0","0","4","2.9","0.7","0.8%"
"62","Tyson Bagent (CHI)","3","4","75.0","47","11.8","0","0","0","2","7","0","0","3","2.6","0.9","0.6%"
"63","Mitchell Trubisky (BUF)","3","6","50.0","54","9.0","0","0","0","4","1","0","0","3","2.3","0.8","0.6%"
"64","Tanner McKee (PHI)","3","3","100.0","33","11.0","0","0","0","6","5","0","0","3","1.8","0.6","1.5%"
"65","Zach Wilson (MIA)","6","9","66.7","32","3.6","0","0","0","3","1","0","0","3","1.4","0.5","0.6%"
"66","Anthony Richardson Sr. (IND)","1","2","50.0","9","4.5","0","0","0","4","-1","0","0","2","1.2","0.6","5.7%"
"67","Joshua Dobbs (NE)","4","6","66.7","42","7.0","0","0","0","7","-5","0","0","3","1.2","0.4","1.0%"
"68","Gardner Minshew II (KC)","6","13","46.2","37","2.8","0","1","0","6","2","0","0","4","0.7","0.2","1.8%"
"69","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","2","4","0","0","11","0.4","0.0","0.0%"
"70","Drew Lock (SEA)","2","3","66.7","15","5.0","0","0","0","6","-5","0","0","5","0.1","0.0","1.9%"
"71","Malik Cunningham (DET)","0","0","0","0","0","0","0","0","1","1","0","0","1","0.1","0.1","1.1%"
"72","Desmond Ridder (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"73","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Graham Mertz (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Will Levis (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"76","Kyle McCord (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"77","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
